Material,Material_Description,Plant,Storage_Location,Date_of_Manufacture,SLED_BBD,Batch,Unrestricted,Base_Unit_of_Measure,In_Quality_Insp_,Blocked,Returns,Restricted_Use_Stock,Stock_in_transfer,Name_1,Material_Type,Material_Group,DF_stor__loc__level,Vendor_Batch,Currency,Value_Unrestricted,Value_in_StkTransf,Value_in_QualInsp_,Value_Restricted,Value_BlockedStock,Valeu_ReturnsBlock,Customer
4175343,SCALA SC400 4X5L BOT CL,BC02,1,2018-08-16,2021-08-16,EM4L025029,0.0,L,0,50,0,0,0,BCS Chile - Main DistCenter,YK,34070500,,,CLP,0.0,0,0,0,1307100,0,
4175343,SCALA SC400 4X5L BOT CL,BC02,6,2022-09-27,2025-09-27,EM09202201,0.0,L,100,0,0,0,0,BCS Chile - Main DistCenter,YK,34070500,,,CLP,0.0,0,2614200,0,0,0,
4175343,SCALA SC400 4X5L BOT CL,BC02,6,2022-09-27,2025-09-27,EM09202202,3405.0,L,0,0,0,0,0,BCS Chile - Main DistCenter,YK,34070500,,,CLP,89013510.0,0,0,0,0,0,
4175343,SCALA SC400 4X5L BOT CL,BC03,1,2022-09-27,2025-09-27,EM09202201,1520.0,L,0,0,0,0,0,BCS Coquimbo,YK,34070500,,,CLP,36528640.0,0,0,0,0,0,
4175343,SCALA SC400 4X5L BOT CL,BC05,1,2022-02-10,2025-02-10,EM02202203,0.0,L,20,0,0,0,0,BCS Linares,YK,34070500,,,CLP,0.0,0,526620,0,0,0,
2568814,FLINT WG50 10X1KG BOX CL,BC02,1,2022-03-18,2025-03-18,EM03202204,0.0,KG,0,30,0,0,0,BCS Chile - Main DistCenter,YK,99153700,,,CLP,0.0,0,0,0,2865960,0,
2568814,FLINT WG50 10X1KG BOX CL,BC02,1,2019-09-30,2022-09-30,EM09201904,0.0,KG,0,1,0,0,0,BCS Chile - Main DistCenter,YK,99153700,,,CLP,0.0,0,0,0,95532,0,
2568814,FLINT WG50 10X1KG BOX CL,BC02,1,2015-09-01,2018-09-01,EM20009070,0.0,KG,0,4,0,0,0,BCS Chile - Main DistCenter,YK,99153700,,,CLP,0.0,0,0,0,382128,0,
2568814,FLINT WG50 10X1KG BOX CL,BC02,6,2021-04-06,2024-04-06,EM04202103,0.0,KG,30,1,0,0,0,BCS Chile - Main DistCenter,YK,99153700,,,CLP,0.0,0,2865960,0,95532,0,
2568814,FLINT WG50 10X1KG BOX CL,BC02,6,,2025-05-28,R105202017,38.0,KG,0,0,0,0,0,BCS Chile - Main DistCenter,YK,99153700,,,CLP,3630216.0,0,0,0,0,0,
2568814,FLINT WG50 10X1KG BOX CL,BC02,6,,2024-09-30,R109201904,0.0,KG,9,0,0,0,0,BCS Chile - Main DistCenter,YK,99153700,,,CLP,0.0,0,859788,0,0,0,
2568814,FLINT WG50 10X1KG BOX CL,BC03,1,,2025-05-28,R105202017,6.0,KG,0,0,0,0,0,BCS Coquimbo,YK,99153700,,,CLP,557514.0,0,0,0,0,0,
2568814,FLINT WG50 10X1KG BOX CL,BC05,1,2022-11-02,2025-11-02,EM11202201,545.0,KG,0,0,0,0,0,BCS Linares,YK,99153700,,,CLP,52103090.0,0,0,0,0,0,
2611361,SENCOR SC480 4X5L BOT CL,BC02,1,2021-03-26,2024-03-27,BR03202101,0.0,L,0,5,0,0,0,BCS Chile - Main DistCenter,YK,99995000,,,CLP,0.0,0,0,0,63400,0,
2611361,SENCOR SC480 4X5L BOT CL,BC02,1,2022-05-12,2025-05-12,BR05202201,0.0,L,0,40,0,0,0,BCS Chile - Main DistCenter,YK,99995000,,,CLP,0.0,0,0,0,507200,0,
2611361,SENCOR SC480 4X5L BOT CL,BC02,1,2022-05-12,2025-05-12,BR05202202,0.0,L,0,5,0,0,0,BCS Chile - Main DistCenter,YK,99995000,,,CLP,0.0,0,0,0,63400,0,
2611361,SENCOR SC480 4X5L BOT CL,BC02,6,2021-05-05,2024-05-04,BR05202104,0.0,L,115,0,0,0,0,BCS Chile - Main DistCenter,YK,99995000,,,CLP,0.0,0,1458200,0,0,0,
2611361,SENCOR SC480 4X5L BOT CL,BC02,6,2022-05-13,2025-05-12,BR05202203,200.0,L,0,0,0,0,0,BCS Chile - Main DistCenter,YK,99995000,,,CLP,2536000.0,0,0,0,0,0,
2611361,SENCOR SC480 4X5L BOT CL,BC02,6,2021-06-03,2024-06-10,BR06202105,0.0,L,55,0,0,0,0,BCS Chile - Main DistCenter,YK,99995000,,,CLP,0.0,0,697400,0,0,0,
2611361,SENCOR SC480 4X5L BOT CL,BC02,6,2022-10-06,2025-10-05,BR10202204,80.0,L,0,0,0,0,0,BCS Chile - Main DistCenter,YK,99995000,,,CLP,1014400.0,0,0,0,0,0,
2611361,SENCOR SC480 4X5L BOT CL,BC05,1,2022-05-12,2025-05-12,BR05202202,685.0,L,0,0,0,0,0,BCS Linares,YK,99995000,,,CLP,8691965.0,0,0,0,0,0,
4206362,ALIETTE WP80 10X1KG BAG CL,BC02,1,,,0000037818,0.0,KG,0,4,0,0,0,BCS Chile - Main DistCenter,YK,34070400,,,CLP,0.0,0,0,0,98252,0,
4206362,ALIETTE WP80 10X1KG BAG CL,BC02,1,2021-01-14,2023-01-14,LB01202103,0.0,KG,0,62,0,0,0,BCS Chile - Main DistCenter,YK,34070400,,,CLP,0.0,0,0,0,1522906,0,
4206362,ALIETTE WP80 10X1KG BAG CL,BC02,1,2022-01-11,2024-01-11,LB01202201,0.0,KG,0,43,0,0,0,BCS Chile - Main DistCenter,YK,34070400,,,CLP,0.0,0,0,0,1056209,0,
4206362,ALIETTE WP80 10X1KG BAG CL,BC02,1,2022-05-12,2024-05-16,LB05202212,0.0,KG,0,12,0,0,0,BCS Chile - Main DistCenter,YK,34070400,,,CLP,0.0,0,0,0,294756,0,
4206362,ALIETTE WP80 10X1KG BAG CL,BC02,1,2022-05-13,2024-05-12,LB05202213,0.0,KG,0,1,0,0,0,BCS Chile - Main DistCenter,YK,34070400,,,CLP,0.0,0,0,0,24563,0,
4206362,ALIETTE WP80 10X1KG BAG CL,BC02,1,2020-07-15,2022-07-17,LB07202002,0.0,KG,0,93,0,0,0,BCS Chile - Main DistCenter,YK,34070400,,,CLP,0.0,0,0,0,2284359,0,
4206362,ALIETTE WP80 10X1KG BAG CL,BC02,1,2021-07-28,2023-07-28,LB07202112,0.0,KG,0,1,0,0,0,BCS Chile - Main DistCenter,YK,34070400,,,CLP,0.0,0,0,0,24563,0,
4206362,ALIETTE WP80 10X1KG BAG CL,BC02,1,2020-09-08,2022-09-09,LB09202001,31.0,KG,0,0,0,0,0,BCS Chile - Main DistCenter,YK,34070400,,,CLP,761453.0,0,0,0,0,0,
4206362,ALIETTE WP80 10X1KG BAG CL,BC02,1,,2025-01-14,R101202103,0.0,KG,0,18,0,0,0,BCS Chile - Main DistCenter,YK,34070400,,,CLP,0.0,0,0,0,442134,0,
4206362,ALIETTE WP80 10X1KG BAG CL,BC02,1,,2024-07-30,R107202002,0.0,KG,0,62,0,0,0,BCS Chile - Main DistCenter,YK,34070400,,,CLP,0.0,0,0,0,1522906,0,
4206362,ALIETTE WP80 10X1KG BAG CL,BC02,1,,2024-07-23,R107202003,0.0,KG,0,140,0,0,0,BCS Chile - Main DistCenter,YK,34070400,,,CLP,0.0,0,0,0,3438820,0,
